City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
291,Laguna,US,62.44,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove West I-5, an IHG Hotel"
292,Aden,YE,75.94,12.7794,45.0367,Sama Emirate Hotel
293,Huamachuco,PE,49.68,-7.8,-78.0667,Hotel Mama Wasi
294,Wuwei,CN,14.7,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
296,San Quintin,MX,61.97,30.4833,-115.95,Don Eddie's Landing
298,Mushie,CD,73.35,-3.0167,16.9,
299,Coquimbo,CL,64.13,-29.9533,-71.3436,Hostel Del Puerto
300,Indianola,US,34.05,41.3581,-93.5574,Quality Inn Indianola
302,Mahebourg,MU,79.09,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
303,Fairlie,GB,41.0,55.756,-4.8556,Seamill Hydro Hotel
304,Iracoubo,GF,75.83,5.4802,-53.2011,Le Gîte d’Iracoubo
305,Ler,SS,69.84,8.3018,30.1418,
306,Kirakira,SB,84.85,-10.4544,161.9205,SanBiz Lodge
307,Rocha,UY,64.04,-34.4833,-54.3333,Hotel Arrarte
309,Alofi,NU,85.89,-19.0595,-169.9187,Scenic Matavai Resort Niue
310,Sala,MA,62.64,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
311,Saint-Joseph,RE,75.56,-21.3667,55.6167,La Bohème
312,Atherton,GB,44.35,53.5237,-2.4935,The Lion Inn
313,Kavieng,PG,83.37,-2.5744,150.7967,Nusa Island Retreat
314,Puerto Leguizamo,CO,77.14,-0.1934,-74.7819,la casona de juancho
315,Sobolevo,RU,23.05,54.4299,31.8996,
316,Axim,GH,78.85,4.8699,-2.2405,Axim Beach Resort And Spa
317,Gamba,GA,76.69,-2.65,10.0,Laguna guest house
319,Pathein,MM,65.44,16.7833,94.7333,New Pammawaddy Hotel
320,Camacha,PT,60.22,33.0833,-16.3333,Hotel Porto Santo & Spa
321,Berlevag,NO,21.11,70.8578,29.0864,Kvitbrakka
322,Huron,US,10.69,41.1501,-82.5499,Freedom Valley Campgrounds
323,Jalu,LY,53.56,29.0331,21.5482,صاحبة الفخامة
325,Inyonga,TZ,63.28,-6.7167,32.0667,Eden Rock Lodge
326,Karratha,AU,85.82,-20.7377,116.8463,ibis Styles Karratha
327,Masterton,NZ,74.93,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
328,Odweyne,SO,60.08,9.4092,45.064,Eng Hiirey House
329,Narsaq,GL,12.42,60.9167,-46.05,Sleep In Narsaq
331,Pascagoula,US,39.04,30.3658,-88.5561,"Holiday Inn Express Pascagoula-Moss Point, an IHG Hotel"
332,Iranshahr,IR,58.78,27.2025,60.6848,نیک سرشت
333,Svetlogorsk,BY,26.47,52.6333,29.7333,Hotel Svetlogorsk JBIK
334,Myitkyina,MM,52.07,25.3833,97.4,Shwe Phyu Hotel
335,Abu Zabad,SD,59.2,12.35,29.25,حامد محمد نور
336,Sile,TR,36.57,41.1754,29.6133,Phellos Suites
337,Sorong,ID,83.25,-0.8833,131.25,Waigo Splash Hotel
338,Vangaindrano,MG,73.04,-23.35,47.6,Hotel Fanilo
339,Marsa Matruh,EG,52.83,31.3525,27.2453,بورتو مطروح اكوا بارك
341,Codrington,AU,71.76,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
343,Santiago Del Estero,AR,76.19,-27.7951,-64.2615,Apartamentos Castelli 90
344,Lucapa,AO,65.93,-8.4192,20.7447,Residência Ulisses Dos Santos
345,Taltal,CL,66.36,-25.4,-70.4833,Residencial Karime
346,Acajutla,SV,78.8,13.5928,-89.8275,Royal Decameron Salinitas
348,Pisco,PE,69.85,-13.7,-76.2167,Hotel San Isidro Oficial
349,Bandar-E Lengeh,IR,67.73,26.5579,54.8807,kong Hotel
351,Florence,IT,48.54,43.7667,11.25,Italiana Hotels Florence
352,Almenara,BR,71.65,-16.1836,-40.6944,Pousada Estância
353,Pio Xii,BR,71.78,-3.8325,-45.1525,Ccb Imperial Hotel
354,Sechura,PE,74.62,-5.5569,-80.8222,Hospedaje Costa Bella
355,Creutzwald,FR,46.99,49.2,6.6833,"Der Linslerhof – Hotel, Restaurant, Events & Natur"
356,Filadelfia,US,19.54,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
358,Da Lat,VN,65.3,11.9465,108.4419,Khách Sạn Dragon King I
359,Staraya Russa,RU,23.9,57.9944,31.3608,Hotel Polist
360,Necochea,AR,75.04,-38.5473,-58.7368,Hotel Tres Arroyos
361,Cusuna,HN,73.26,15.85,-85.2333,
362,Bima,ID,82.8,-8.4667,118.7167,Lambitu Hotel
363,Cabo San Lucas,MX,75.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
364,Virginia Beach,US,28.45,36.8529,-75.978,Hilton Virginia Beach Oceanfront
365,Grafton,US,12.87,42.207,-71.6856,Days Inn by Wyndham Shrewsbury Worcester
367,Kruisfontein,ZA,58.89,-34.0033,24.7314,Oyster Bay House Rental
